Artist,Song,Lyrics
Lewis Capaldi,Someone You Loved,"[""I'm going under, and this time, I fear there's no one to save me"", 'This all or nothing really got a way of driving me crazy', 'I need somebody to hear,  somebody to know', 'Somebody to have, somebody to hold', ""It's easy to say, but it's never the same"", 'I guess I kinda liked the way you numbed all the pain', '[Chorus]', '[Chorus]', 'Now, the day bleeds into nightfall', ""And you're not here to get me through it all"", 'I let my guard down and then you pulled the rug', 'I was getting kinda used to being someone you loved', '[Verse 2]', '[Verse 2]', ""I'm going under, and this time, I fear there's no one to turn to"", 'This all or nothing way of loving got me sleeping without you', 'Now, I need somebody to know, somebody to hear', 'Somebody to have, just to know how it feels', ""It's easy to say, but it's never the same"", 'I guess I kinda like the way you help me escape', '[Chorus]', '[Chorus]', 'Now, the day bleeds into nightfall', ""And you're not here to get me through it all"", 'I let my guard down and then you pulled the rug', 'I was getting kinda used to being someone you loved', 'You might also like', 'And I tend to close my eyes when it hurts sometimes', 'I fall into your arms', ""I'll be safe in your sound till I come back around"", '[Chorus]', '[Chorus]', 'For now, the day bleeds into nightfall', ""And you're not here to get me through it all"", 'I let my guard down and then you pulled the rug', 'I was getting kinda used to being someone you loved', 'But now the day bleeds into nightfall', ""And you're not here to get me through it all"", 'I let my guard down and then you pulled the rug', 'I was getting kinda used to being someone you loved', 'I let my guard down and then you pulled the rug', 'I was getting kinda used to being someone you loved']"
The Chainsmokers,Closer,"['Hey, I was doing just fine before I met you', ""I drink too much and that's an issue, but I'm okay"", 'Hey, you tell your friends it was nice to meet them', 'But I hope I never see them again', '[Pre-Chorus: Andrew Taggart]', '[Pre-Chorus: Andrew Taggart]', 'I know it breaks your heart', 'Moved to the city in a broke-down car', 'And four years, no calls', ""Now you're lookin' pretty in a hotel bar"", ""And I-I-I can't stop"", ""No, I-I-I can't stop"", '[Chorus: Andrew Taggart]', '[Chorus: Andrew Taggart]', 'So, baby, pull me closer', 'In the backseat of your Rover', ""That I know you can't afford"", 'Bite that tattoo on your shoulder', 'Pull the sheets right off the corner', 'Of the mattress that you stole', 'From your roommate back in Boulder', ""We ain't ever gettin' older"", '[Drop: Andrew Taggart]', '[Drop: Andrew Taggart]', ""We ain't ever gettin' older"", ""We ain't ever gettin' older"", 'See The Chainsmokers Live', 'You look as good as the day I met you', 'I forget just why I left you, I was insane', 'Stay and play that blink-182 song', 'That we beat to death in Tucson, okay', '[Pre-Chorus: Halsey, ', '[Pre-Chorus: Halsey, ', 'I know it breaks your heart', 'Moved to the city in a broke-down car', 'And four years, no call', ""Now I'm lookin' pretty in a hotel bar"", 'And ', ""No, I-I-I can't stop"", '[Chorus: Andrew Taggart & Halsey]', '[Chorus: Andrew Taggart & Halsey]', 'So, baby, pull me closer', 'In the backseat of your Rover', ""That I know you can't afford"", 'Bite that tattoo on your shoulder', 'Pull the sheets right off the corner', 'Of the mattress that you stole', 'From your roommate back in Boulder', ""We ain't ever gettin' older"", '[Drop: Andrew Taggart & Halsey]', '[Drop: Andrew Taggart & Halsey]', ""We ain't ever gettin' older"", ""We ain't ever gettin' older"", '[Chorus: Andrew Taggart]', 'So, baby, pull me closer', 'In the backseat of your Rover', ""That I know you can't afford"", 'Bite that tattoo on your shoulder', 'Pull the sheets right off the corner', 'Of the mattress that you stole', 'From your roommate back in Boulder', ""We ain't ever gettin' older"", '[Refrain: Andrew Taggart, ', '[Refrain: Andrew Taggart, ', ""We ain't ever gettin' older"", 'No', ""We ain't ever gettin' older"", 'No', ""We ain't ever gettin' older"", ""We ain't ever gettin' older"", ""We ain't ever gettin' older"", 'No', '[Drop: Halsey, ', '[Drop: Halsey, ', 'Older', ""We ain't ever gettin' older"", 'Older', 'No, ']"
Lady Gaga,Poker Face,"['Mum mum mum mah', 'Mum mum mum mah', 'Mum mum mum mah', 'Mum mum mum mah', 'Mum mum mum mah', '[Verse 1]', '[Verse 1]', ""I wanna hold 'em like they do in Texas, please (Woo)"", ""Fold 'em, "", 'LoveGame intuition, play the cards with spades to start', ""And after he's been hooked, I'll play the one that's on his heart"", '[Pre-Chorus]', '[Pre-Chorus]', 'Oh, woah-oh, oh, oh', 'Oh-oh-oh-oh-oh-oh', ""I'll get him hot, show him what I've got"", 'Oh, woah-oh, oh, oh', 'Oh-oh-oh-oh-oh-oh', ""I'll get him hot, show him what I've got"", '[Chorus]', '[Chorus]', ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", 'You might also like', 'P-p-p-poker face, f-f-fuck her face', '(Mum mum mum mah)', 'P-p-p-poker face, f-f-fuck her face', '(Mum mum mum mah)', '[Verse 2]', '[Verse 2]', 'I wanna roll with him, a hard pair we will be (Woo)', ""A little gamblin' is fun when you're with me (I love it, woo)"", 'Russian roulette is not the same without a gun', ""And baby, when it's love, if it's not rough, it isn't fun, fun"", '[Pre-Chorus]', '[Pre-Chorus]', 'Oh, woah-oh, oh, oh', 'Oh-oh-oh-oh-oh-oh', ""I'll get him hot, show him what I've got"", 'Oh, woah-oh, oh, oh', 'Oh-oh-oh-oh-oh-oh', ""I'll get him hot, show him what I've got"", '[Chorus]', '[Chorus]', ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", '[Post-Chorus]', 'P-p-p-poker face, f-f-fuck her face', '(Mum mum mum mah)', 'P-p-p-poker face, f-f-fuck her face', '(Mum mum mum mah)', '(Mum mum mum mah)', '(Mum mum mum mah)', '[Bridge]', '[Bridge]', ""I won't tell you that I love you"", 'Kiss or hug you', ""'Cause I'm bluffin' with my muffin"", ""I'm not lyin', I'm just stunnin' with my love-glue-gunnin'"", 'Just like a chick in the casino', 'Take your bank before I pay you out', 'I promise this, promise this', ""Check this hand 'cause I'm marvelous"", '[Chorus]', '[Chorus]', ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", ""Can't read my, can't read my"", ""No, he can't read my poker face"", ""(She's got me like nobody)"", '[Post-Chorus]', 'P-p-p-poker face, f-f-fuck her face', 'P-p-p-poker face, f-f-fuck her face', ""(She's got me like nobody)"", 'P-p-p-poker face, f-f-fuck her face', '(Mum mum mum mah)', 'P-p-p-poker face, f-f-fuck her face', '(Mum mum mum mah)', 'P-p-p-poker face, f-f-fuck her face', '(Mum mum mum mah)', 'P-p-p-poker face, f-f-fuck her face', '(Mum mum mum mah)']"
Khalid,Young Dumb & Broke,"[""So you're still thinking of me"", 'Just like I know you should', 'I can not give you everything, you know I wish I could', ""I'm so high at the moment"", ""I'm so caught up in this"", ""Yeah, we're just young, dumb and broke"", 'But we still got love to give', '[Chorus]', '[Chorus]', ""While we're young dumb"", 'Young, young, dumb and broke', 'Young, dumb', 'Young, young, dumb and broke', 'Young, dumb', 'Young, young, dumb and broke', 'Young, dumb, broke high school kids', 'Yadadadadadadada', 'Yadadadadadada', 'Yadadadadadadada', 'Young, dumb, broke high school kids', '[Verse 2]', '[Verse 2]', 'We have so much in common', 'We argue all the time', ""You always say I'm wrong"", ""I'm pretty sure I'm right"", ""What's fun about commitment?"", 'When we have our life to live', ""Yeah, we're just young dumb and broke"", 'But we still got love to give', 'See Khalid Live', ""While we're young, dumb"", 'Young, young, dumb and broke', 'Young, dumb', 'Young, young, dumb and broke', 'Young, dumb', 'Young, young, dumb and broke', 'Young, dumb, broke high school kids', 'Yadadadadadadada', 'Yadadadadadada', 'Yadadadadadadada', 'Young, dumb, broke high school kids', '[Bridge]', '[Bridge]', 'Jump and we think, ""Leave it all in the ', 'Run into sin, do it all in the name of fun, fun', 'Woah-oa-oa', ""I'm so high at the moment"", ""I'm so caught up in this"", ""Yeah, we're just young, dumb and broke"", 'But we still got love to give', '[Chorus]', '[Chorus]', ""While we're young, dumb"", 'Young, young, dumb and broke', 'Young, dumb', 'Young, young, dumb and broke', 'Young, dumb', 'Young, young, dumb and broke', 'Young, dumb, broke high school kids', 'Yadadadadadadada', 'Yadadadadadada', 'Yadadadadadadada', 'Young, dumb, broke high school kids', 'Yadadadadadadada', 'Yadadadadadada', 'Yadadadadadadada', 'Young dumb broke high school kids', '\n']"
Elton John,Rocket Man,"['\n', '\nTimestamp – 19:08\n\n']"
John Legend,All of Me,"['What would I do without your smart mouth?', 'Drawing me in and you kicking me out', ""You've got my head spinning, no kidding"", ""I can't pin you down"", ""What's goin' on in that beautiful mind?"", ""I'm on your magical mystery ride"", ""And I'm so dizzy, don't know what hit me"", ""But I'll be alright"", '[Pre-Chorus]', '[Pre-Chorus]', ""My head's under water, but I'm breathing fine"", ""You're crazy and I'm out of my mind"", '[Chorus]', '[Chorus]', ""'Cause all of me loves all of you"", 'Love your curves and all your edges', 'All your perfect imperfections', ""Give your all to me, I'll give my all to you"", ""You're my end and my beginning"", ""Even when I lose, I'm winning"", '[Post-Chorus]', '[Post-Chorus]', ""'Cause I give you all of me"", 'And you give me all of you, oh-oh', 'You might also like', 'How many times do I have to tell you?', ""Even when you're crying, you're beautiful, too"", ""The world is beating you down, I'm around"", 'Through every mood', ""You're my downfall, you're my muse"", 'My worst distraction, my rhythm and blues', ""I can't stop singing, it's ringing"", 'In my head for you', '[Pre-Chorus]', '[Pre-Chorus]', ""My head's under water, but I'm breathing fine"", ""You're crazy and I'm out of my mind"", '[Chorus]', '[Chorus]', ""'Cause all of me loves all of you"", 'Love your curves and all your edges', 'All your perfect imperfections', ""Give your all to me, I'll give my all to you"", ""You're my end and my beginning"", ""Even when I lose, I'm winning"", '[Post-Chorus]', '[Post-Chorus]', ""'Cause I give you all of me"", 'And you give me all of you, oh-oh', '[Bridge]', 'Give me all of you, oh', ""Cards on the table, we're both showing hearts"", ""Risking it all, though it's hard"", '[Chorus]', '[Chorus]', ""'Cause all of me loves all of you"", 'Love your curves and all your edges', 'All your perfect imperfections', ""Give your all to me, I'll give my all to you"", ""You're my end and my beginning"", ""Even when I lose, I'm winning"", '[Post-Chorus]', '[Post-Chorus]', ""'Cause I give you all of me"", 'And you give me all of you', '[Outro]', '[Outro]', 'I give you all of me', 'And you give me all of you, oh-oh']"
Twenty One Pilots,Stressed Out,"[""I wish I found some better sounds no one's ever heard"", 'I wish I had a better voice that sang some better words', 'I wish I found some chords in an order that is new', ""I wish I didn't have to rhyme every time I sang"", 'I was told, when I get older, all my fears would shrink', ""But now I'm insecure, and I care what people think"", '[Pre-Chorus]', '[Pre-Chorus]', ""My name's Blurryface and I care what you think"", ""My name's Blurryface and I care what you think"", '[Chorus]', '[Chorus]', 'Wish we could turn back time to the good old days', ""When our momma sang us to sleep, but now we're stressed out"", '(Oh) Wish we could turn back time (Oh) to the good old days (Oh)', ""When our momma sang us to sleep, but now we're stressed out"", ""We're stressed out"", '[Verse 2]', '[Verse 2]', 'Sometimes a certain smell will take me back to when I was young', ""How come I'm never able to identify where it's comin' from?"", ""I'd make a candle out of it, if I ever found it"", ""Try to sell it, never sell out of it, I'd probably only sell one"", ""It'd be to my brother, 'cause we have the same nose"", ""Same clothes, homegrown, a stone's throw from a creek we used to roam"", 'But it would remind us of when nothing really mattered', 'Out of student loans and treehouse homes, we all would take the latter', 'You might also like', ""My-my-my name's Blurryface and I care what you think"", ""My name's Blurryface and I care what you think"", '[Chorus]', '[Chorus]', 'Wish we could turn back time to the good old days', ""When our momma sang us to sleep, but now we're stressed out"", '(Oh) Wish we could turn back time (Oh) to the good old days (Oh)', ""When our momma sang us to sleep, but now we're stressed out"", '[Bridge]', '[Bridge]', 'We used to play pretend, give each other different names', ""We would build a rocket ship an' then we'd fly it far away"", ""Used to dream of outer space, but now they're laughin' at our face"", 'Sayin\', ""Wake up, you need to make money!,"" yeah', 'We used to play pretend, give each other different names', ""We would build a rocket ship an' then we'd fly it far away"", ""Used to dream of outer space, but now they're laughin' at our face"", 'Sayin\', ""Wake up, you need to make money!,"" yeah', '[Chorus]', '[Chorus]', 'Wish we could turn back time to the good old days', ""When our momma sang us to sleep, but now we're stressed out"", '(Oh) Wish we could turn back time (Oh) to the good old days (Oh)', ""When our momma sang us to sleep, but now we're stressed out"", '[Outro]', 'We used to play pretend, used to play pretend, money', 'We used to play pretend, wake up, you need the money', 'Used to play pretend, used to play pretend, money', 'We used to play pretend, wake up, you need the money', 'Used to play pretend, give each other different names', ""We would build a rocket ship and then we'd fly it far away"", ""Used to dream of outer space, but now they're laughin' at our face"", 'Sayin\', ""Wake up, you need to make money!,"" yeah']"
Adele,Hello,"[""Hello, it's me"", ""I was wondering if, after all these years, you'd like to meet"", 'To go over everything', ""They say that time's supposed to heal ya"", ""But I ain't done much healin'"", 'Hello, can you hear me?', ""I'm in California dreaming about who we used to be"", 'When we were younger and free', ""I've forgotten how it felt before the world fell at our feet"", '[Pre-Chorus]', '[Pre-Chorus]', ""There's such a difference between us"", 'And a million miles', '[Chorus]', '[Chorus]', 'Hello from the other side', ""I must've called a thousand times"", ""To tell you I'm sorry for everything that I've done"", 'But when I call, you never seem to be home', 'Hello from the outside', ""At least, I can say that I've tried"", ""To tell you I'm sorry for breaking your heart"", ""But it don't matter, it clearly doesn't tear you apart anymore"", '[Verse 2]', '[Verse 2]', 'Hello, how are you?', ""It's so typical of me to talk about myself, I'm sorry"", ""I hope that you're well"", 'Did you ever make it out of that town', 'Where nothing ever happened?', 'You might also like', ""It's no secret that the both of us"", 'Are running out of time', '[Chorus]', '[Chorus]', 'So hello from the other side (Other side)', ""I must've called a thousand times (Thousand times)"", ""To tell you I'm sorry for everything that I've done"", 'But when I call, you never seem to be home', 'Hello from the outside (Outside)', ""At least, I can say that I've tried (I've tried)"", ""To tell you I'm sorry for breaking your heart"", ""But it don't matter, it clearly doesn't tear you apart anymore"", '[Bridge]', '[Bridge]', '(Highs, highs, highs, highs, lows, lows, lows, lows)', 'Ooh, anymore', '(Highs, highs, highs, highs, lows, lows, lows, lows)', 'Ooh, anymore', '(Highs, highs, highs, highs, lows, lows, lows, lows)', 'Ooh, anymore', '(Highs, highs, highs, highs, lows, lows, lows, lows)', 'Anymore', '[Chorus]', '[Chorus]', 'Hello from the other side (Other side)', ""I must've called a thousand times (Thousand times)"", ""To tell you I'm sorry for everything that I've done"", 'But when I call, you never seem to be home', 'Hello from the outside (Outside)', ""At least, I can say that I've tried (I've tried)"", ""To tell you I'm sorry for breaking your heart"", ""But it don't matter, it clearly doesn't tear you apart anymore"", '[Produced by Greg Kurstin]', '[Music Video]', '\nAdele']"
Sam Smith,Stay With Me,"[""Guess it's true, I'm not good at a one-night stand"", ""But I still need love 'cause I'm just a man"", 'These nights never seem to go to plan', ""I don't want you to leave, will you hold my hand?"", '[Chorus]', '[Chorus]', ""Oh, won't you stay with me?"", ""'Cause you're all I need"", ""This ain't love, it's clear to see"", 'But darling, stay with me', '[Verse 2]', '[Verse 2]', 'Why am I so emotional?', ""No, it's not a good look, gain some self-control"", 'And deep down, I know this never works', ""But you can lay with me so it doesn't hurt"", '[Chorus]', '[Chorus]', ""Oh, won't you stay with me?"", ""'Cause you're all I need"", ""This ain't love, it's clear to see"", 'But darling, stay with me', '[Interlude]', '[Interlude]', 'Oooh, oooh', 'Oooh, oooh', 'See Sam Smith Live', ""Oh, won't you stay with me?"", ""'Cause you're all I need"", ""This ain't love, it's clear to see"", 'But darling, stay with me', '[Chorus]', '[Chorus]', ""Oh, won't you stay with me?"", ""'Cause you're all I need"", ""This ain't love, it's clear to see"", 'But darling, stay with me']"
Camila Cabello,Havana,"['Hey', '[Chorus: Camila Cabello & ', '[Chorus: Camila Cabello & ', 'Havana, ooh na-na (', 'Half of my heart is in Havana, ooh na-na (', 'He took me back to East Atlanta, na-na-na, ah', 'Oh, but my heart is in Havana (', ""There's somethin' 'bout his manners ("", 'Havana, ooh na-na (', '[Verse 1: Camila Cabello & ', '[Verse 1: Camila Cabello & ', 'He didn\'t walk up with that ""how you doin\'?"" (', 'When he came in the room', ""He said there's a lot of girls I can do with ("", ""But I can't without you"", 'I knew him forever in a minute (', 'That summer night in June', 'And papa says he got malo in him (', ""He got me feelin' like..."", '[Pre-Chorus: Camila Cabello & ', '[Pre-Chorus: Camila Cabello & ', 'Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Ayy)', 'I knew it when I met him (Ayy), I loved him when I left him', ""Got me feelin' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh"", 'And then I had to tell him, I had to go', 'Oh na-na-na-na-na (', 'You might also like', 'Havana, ooh na-na (', 'Half of my heart is in Havana, ooh na-na (', 'He took me back to East Atlanta, na-na-na', 'Oh, but my heart is in Havana (', 'My heart is in Havana (', 'Havana, ooh na-na', '[Verse 2: Young Thug]', '[Verse 2: Young Thug]', '(Jeffery)', 'Just graduated, fresh on campus, mmm', 'Fresh out East Atlanta with no manners, damn (Fresh out East Atlanta)', 'Bump on her bumper like a traffic jam', 'Hey, I was quick to pay that girl like Uncle Sam (Here you go, ayy)', 'Back it on me (Back it up)', ""Shawty cravin' on me, get to eatin' on me (On me)"", 'She waited on me (And what?)', ""Shawty cakin' on me, got the bacon on me (Wait up)"", ""This is history in the makin', homie (Homie)"", 'Point blank, close range, that B (Tah, tah)', ""If it cost a million, that's me (That's me)"", ""I was gettin' mula, baby"", '[Chorus: Camila Cabello & ', '[Chorus: Camila Cabello & ', 'Havana, ooh na-na (', 'Half of my heart is in Havana, ooh na-na (Oh, ', 'He took me back to East Atlanta, na-na-na (Oh, no)', 'Oh, but my heart is in Havana (', 'My heart is in Havana (', 'Havana, ooh na-na', '[Bridge: Starrah & ', 'Ooh na-na, oh, na-na-na (', 'Take me back, back, back like...', 'Ooh na-na, oh, na-na-na (Yeah, babe)', 'Take me back, back, back like...', 'Ooh na-na, oh, na-na-na (Yeah, yeah)', 'Take me back, back, back like...', 'Ooh na-na, oh, na-na-na (Yeah, babe)', 'Take me back, back, back', 'Hey, hey...', 'Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey)', 'Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey)', 'Take me back to my Havana...', '[Chorus: Camila Cabello & ', '[Chorus: Camila Cabello & ', 'Havana, ooh na-na', 'Half of my heart is in Havana, ooh na-na (Oh, yeah)', 'He took me back to East Atlanta, na-na-na (', 'Oh, but my heart is in Havana', 'My heart is in Havana (', 'Havana, ooh na-na (', '[Outro: Starrah & ', '[Outro: Starrah & ', 'Oh, na-na-na (', 'Oh, na-na-na', 'Oh, na-na-na (', 'Oh, na-na-na', 'Havana, ooh na-na']"
Eminem,Lose Yourself,"['Look, if you had one shot or one opportunity', 'To seize everything you ever wanted in one moment', 'Would you capture it or just let it slip?', 'Yo', '[Verse 1]', '[Verse 1]', 'His palms are sweaty, knees weak, arms are heavy', ""There's vomit on his sweater already, mom's spaghetti"", ""He's nervous, but on the surface, he looks calm and ready"", 'To drop bombs, but he keeps on forgetting', 'What he wrote down, the whole crowd goes so loud', ""He opens his mouth, but the words won't come out"", ""He's chokin', how? Everybody's jokin' now"", ""The clock's run out, time's up, over, blaow"", 'Snap back to reality, ope, there goes gravity', ""Ope, there goes Rabbit, he choked, he's so mad"", ""But he won't give up that easy, no, he won't have it"", ""He knows his whole back's to these ropes, it don't matter"", ""He's dope, he knows that, but he's broke, he's so stagnant"", 'He knows when he goes back to this mobile home,', 'Back to the lab again, yo, this old rhapsody', ""Better go capture this moment and hope it don't pass him"", '[Chorus]', '[Chorus]', 'You better lose yourself in the music', 'The moment, you own it, you better never let it go (Go)', 'You only get one shot, do not miss your chance to blow', 'This opportunity comes once in a lifetime, yo', 'You better lose yourself in the music', 'The moment, you own it, you better never let it go (Go)', 'You only get one shot, do not miss your chance to blow', 'This opportunity comes once in a lifetime, yo', 'You better', 'You might also like', ""His soul's escaping through this hole that is gaping"", 'This world is mine for the taking, make me king', 'As we move toward a new world order', ""A normal life is boring, but superstardom's"", 'Close to post-mortem, it only grows harder', ""Homie grows hotter, he blows, it's all over"", 'These hoes is all on him, coast-to-coast shows', ""He's known as the Globetrotter, lonely roads"", ""God only knows he's grown farther from home, he's no father"", 'He goes home and barely knows his own daughter', ""But hold your nose 'cause here goes the cold water"", ""These hoes don't want him no mo', he's cold product"", 'They moved on to the next schmoe who flows', 'He nose-dove and sold nada,', ""Is told, it unfolds, I suppose it's old, partner"", 'But the beat goes on, da-da-dom, da-dom, dah-dah-dah-dah', '[Chorus]', '[Chorus]', 'You better lose yourself in the music', 'The moment, you own it, you better never let it go (Go)', 'You only get one shot, do not miss your chance to blow', 'This opportunity comes once in a lifetime, yo', 'You better lose yourself in the music', 'The moment, you own it, you better never let it go (Go)', 'You only get one shot, do not miss your chance to blow', 'This opportunity comes once in a lifetime, yo', 'You better', '[Verse 3]', ""No more games, I'ma change what you call rage"", ""Tear this motherfuckin' roof off like two dogs caged"", ""I was playin' in the beginning, the mood all changed"", ""I've been chewed up and spit out and booed off stage"", ""But I kept rhymin' and stepped right in the next cypher"", ""Best believe somebody's payin' the Pied Piper"", 'All the pain inside amplified by the', ""Fact that I can't get by with my nine-to-"", ""Five and I can't provide the right type of life for my family"", ""'Cause, man, these goddamn food stamps don't buy diapers"", ""And there's no movie, there's no Mekhi Phifer, this is my life"", ""And these times are so hard, and it's gettin' even harder"", 'Tryna feed and water my seed,', ""Caught up between bein' a father and a prima donna"", ""Baby-mama drama, screamin' on her, too much for me to wanna"", ""Stay in one spot, another day of monotony's gotten me"", ""To the point I'm like a snail, I've got"", 'To formulate a plot or end up in jail or shot', ""Success is my only motherfuckin' option, failure's not"", ""Mom, I love you, but this trailer's got"", ""To go, I cannot grow old in Salem's Lot"", ""So here I go, it's my shot; feet, fail me not"", 'This may be the only opportunity that I got', '[Chorus]', '[Chorus]', 'You better lose yourself in the music', 'The moment, you own it, you better never let it go (Go)', 'You only get one shot, do not miss your chance to blow', 'This opportunity comes once in a lifetime, yo', 'You better lose yourself in the music', 'The moment, you own it, you better never let it go (Go)', 'You only get one shot, do not miss your chance to blow', 'This opportunity comes once in a lifetime, yo', 'You better', '[Outro]', 'You can do anything you set your mind to, man']"
Linkin Park,In the End,"['It starts with one', '[Verse 1: Mike Shinoda, ', '[Verse 1: Mike Shinoda, ', ""One thing, I don't know why"", ""It doesn't even matter how hard you try"", 'Keep that in mind, I designed this rhyme', 'To explain in due time, ', 'Time is a valuable thing', 'Watch it fly by as the pendulum swings', 'Watch it count down to the end of the day', 'The clock ticks life away, ', ""Didn't look out below"", 'Watch the time go right out the window', ""Tryin' to hold on, d-didn't even know"", 'I wasted it all just to ', '[Pre-Chorus: Mike Shinoda]', '[Pre-Chorus: Mike Shinoda]', 'I kept everything inside', 'And even though I tried, it all fell apart', 'What it meant to me will eventually be', 'A memory of a time when I tried so hard', '[Chorus: Chester Bennington]', '[Chorus: Chester Bennington]', 'I tried so hard and got so far', ""But in the end, it doesn't even matter"", 'I had to fall to lose it all', ""But in the end, it doesn't even matter"", 'You might also like', ""One thing (One thing), I don't know why"", ""It doesn't even matter how hard you try"", 'Keep that in mind, I designed this rhyme', 'To remind myself how ', ""In spite of the way you were mockin' me"", ""Actin' like I was part of your property"", 'Remembering all the times you fought with me', ""I'm surprised it "", ""Things aren't the way they were before"", ""You wouldn't even recognize me anymore"", 'Not that you knew me back then', 'But it all comes back to me ', '[Pre-Chorus: Mike Shinoda]', '[Pre-Chorus: Mike Shinoda]', 'You kept everything inside', 'And even though I tried, it all fell apart', 'What it meant to me will eventually be', 'A memory of a time when I tried so hard', '[Chorus: Chester Bennington]', '[Chorus: Chester Bennington]', 'I tried so hard and got so far', ""But in the end, it doesn't even matter"", 'I had to fall to lose it all', ""But in the end, it doesn't even matter"", '[Bridge: Chester Bennington]', ""I've put my trust in you, pushed as far as I can go"", ""For all this, there's only one thing you should know"", ""I've put my trust in you, pushed as far as I can go"", ""For all this, there's only one thing you should know"", '[Chorus: Chester Bennington]', '[Chorus: Chester Bennington]', 'I tried so hard and got so far', ""But in the end, it doesn't even matter"", 'I had to fall to lose it all', ""But in the end, it doesn't even matter"", '\n']"
Adele,Rolling in the Deep,"[""There's a fire starting in my heart"", ""Reaching a fever pitch and it's bringing me out the dark"", 'Finally, I can see you crystal clear', ""Go ahead and sell me out and I'll lay your shit bare"", ""See how I'll leave with every piece of you"", ""Don't underestimate the things that I will do"", ""There's a fire starting in my heart"", ""Reaching a fever pitch, and it's bringing me out the dark"", '[Pre-Chorus]', '[Pre-Chorus]', 'The scars of your love remind me of us', ""They keep me thinkin' that we almost had it all"", 'The scars of your love, they leave me breathless', ""I can't help feeling"", '[Chorus]', '[Chorus]', ""We could've had it all"", 'Rolling in the deep (Tears are gonna fall, rolling in the deep)', 'You had my heart inside of your hand ', 'And you played it to the beat', '[Verse 2]', '[Verse 2]', 'Baby, I have no story to be told', ""But I've heard one on you, now I'm gonna make your head burn"", 'Think of me in the depths of your despair', ""Make a home down there, as mine sure won't be shared"", 'You might also like', ""(You're gonna wish you never had met me)"", '(Tears are gonna fall, rolling in the deep)', ""(You're gonna wish you never had met me)"", '(Tears are gonna fall, rolling in the deep)', '[Chorus]', '[Chorus]', ""We could've had it all"", 'Rolling in the deep (Tears are gonna fall, rolling in the deep)', 'You had my heart inside of your hand ', 'And you played it to the beat', ""Could've had it all"", 'Rolling in the deep', 'You had my heart inside of your hand', 'But you played it with a beating', '[Bridge]', '[Bridge]', 'Throw your soul through every open door (Ooh woah, oh)', 'Count your blessings to find what you look for (Woah)', 'Turn my sorrow into treasured gold (Ooh woah, oh)', ""You'll pay me back in kind and reap just what you sow"", '[Breakdown]', '[Breakdown]', ""(You're gonna wish you never had met me)"", ""We could've had it all (Tears are gonna fall, rolling in the deep)"", ""We could've had it all, yeah"", 'It all, it all, it all (Tears are gonna fall, rolling in the deep)', '[Chorus]', ""We could've had it all"", 'Rolling in the deep (Tears are gonna fall, rolling in the deep)', 'You had my heart inside of your hand ', 'And you played it to the beat', ""Could've had it all"", 'Rolling in the deep (Tears are gonna fall, rolling in the deep)', 'You had my heart inside of your hand ', 'But you played it, you played it, you played it', 'You played it to the beat']"
